Ref,Part,MPN,Qty,@1,@100,@1k,Basis
U1,Battery charger,MCP73831T-2ACI/OT,1,0.71,0.52,0.41,"Quoted — Digi-Key, 8140 in stock, checked 2026-08-28"
U2,3.3 V LDO,MCP1700T-3302E/TT,1,0.48,0.34,0.27,"Quoted — Digi-Key, 21k in stock, checked 2026-08-28"
U3,MCU,STM32L071KBU6,1,3.62,3.11,2.68,"Quoted — Mouser, 1204 in stock, checked 2026-08-28"
U4,Voltage reference,REF3025AIDBZR,1,1.94,1.55,1.28,"Quoted — Mouser, 640 in stock, checked 2026-08-28"
U5,Log flash 16 Mbit,W25Q16JVUXIQ,1,0.63,0.44,0.36,"Quoted — LCSC, 30k in stock, checked 2026-08-28"
DS1,Segment LCD,VIM-878-DP-RC-S-LV,1,4.10,3.40,2.90,"ESTIMATE — no distributor stock, factory quote requested 2026-08-29"
BT1,LiPo cell 900 mAh,LP503035,1,3.80,3.20,2.60,"ESTIMATE — cell pricing moves with lithium; no quote yet"
RT1,NTC thermistor,NTCLE100E3103JB0,1,0.34,0.21,0.16,"Quoted — Digi-Key, 46k in stock, checked 2026-08-28"
J1,USB-C receptacle,TYPE-C-31-M-12,1,0.29,0.16,0.11,"Quoted — LCSC, 120k in stock, checked 2026-08-28"
SW1,Wake button,TL3305AF160QG,1,0.22,0.14,0.10,"Quoted — Digi-Key, 90k in stock, checked 2026-08-28"
—,Passives (24 parts),various,24,1.90,0.95,0.62,"Quoted — LCSC basket, checked 2026-08-28"
—,PCB 2-layer ENIG,—,1,12.40,2.10,0.94,"Quoted — JLCPCB, 5-day, checked 2026-08-28"
—,Enclosure,—,1,18.00,6.50,2.20,"ESTIMATE — printed at 1-100; injection tooling not quoted"
—,BOARD TOTAL,—,1,52.43,24.62,15.63,"Mixed — 3 lines estimated"
